iter	Logloss
0	0.6741447584
1	0.6549802624
2	0.6347240299
3	0.6164440006
4	0.6019417434
5	0.5878374636
6	0.5740878828
7	0.5595960515
8	0.5462828938
9	0.5365065171
10	0.5264409293
11	0.5175617259
12	0.5105671187
13	0.505129994
14	0.5022766548
15	0.4955786437
16	0.48779248
17	0.4815481057
18	0.4757021432
19	0.4700963574
20	0.4646028132
21	0.4599659876
22	0.4540862766
23	0.4497298108
24	0.4455348656
25	0.4414646244
26	0.4365492851
27	0.4331293615
28	0.4284389129
29	0.4241367761
30	0.4213499022
31	0.4175107148
32	0.41449819
33	0.4099524013
34	0.4068754203
35	0.4038470394
36	0.4001211798
37	0.3968804519
38	0.3943346777
39	0.3904369531
40	0.3887137416
41	0.3847578055
42	0.3827388125
43	0.3805693494
44	0.3774238668
45	0.3748183607
46	0.3711898098
47	0.3683042696
48	0.3658160552
49	0.3627405676
50	0.3605864718
51	0.3587856904
52	0.3562231641
53	0.3544067709
54	0.3520132587
55	0.3483682001
56	0.345720393
57	0.3434436296
58	0.3408137148
59	0.338906502
60	0.3358126874
61	0.3334041066
62	0.331922918
63	0.3308642784
64	0.3289455808
65	0.3272797391
66	0.3250759844
67	0.3230115409
68	0.3207762369
69	0.3194608858
70	0.3174005963
71	0.315786993
72	0.3140515093
73	0.3128961855
74	0.3106638138
75	0.3087556235
76	0.3074275658
77	0.3054465026
78	0.3040193442
79	0.3023615393
80	0.3010036156
81	0.2992760329
82	0.2977105409
83	0.296339259
84	0.2951169812
85	0.2934271653
86	0.291853175
87	0.2891911408
88	0.288103477
89	0.2865294867
90	0.284145586
91	0.282651908
92	0.2809541641
93	0.279718881
94	0.2784917431
95	0.2775959816
96	0.2768457487
97	0.275519293
98	0.2749675601
99	0.273738223
100	0.2727292967
101	0.2718168646
102	0.2707011267
103	0.2692762762
104	0.2675142662
105	0.2665160916
106	0.265722363
107	0.2640707484
108	0.2624853548
109	0.2615135166
110	0.2603735601
111	0.2583465576
112	0.257777231
113	0.2568852435
114	0.2555010378
115	0.2545096509
116	0.2531091548
117	0.2516212871
118	0.2507139593
119	0.2496119598
120	0.2485932048
121	0.2478229346
122	0.2461763429
123	0.2454107427
124	0.2447671585
125	0.2438315938
126	0.2424696518
127	0.2411979051
128	0.2404003483
129	0.2394901696
130	0.2384379105
131	0.237155955
132	0.2352641367
133	0.2340471261
134	0.2332616243
135	0.2321823772
136	0.2316339024
137	0.2304199327
138	0.2288322041
139	0.2275308494
140	0.2266189738
141	0.2253775953
142	0.2243219559
143	0.2236443109
144	0.2230810118
145	0.2212322683
146	0.2204652291
147	0.2193489346
148	0.2187040064
149	0.2171136442
150	0.2159415547
151	0.2145876223
152	0.2138154108
153	0.2124134349
154	0.2118214509
155	0.2110433477
156	0.2100988775
157	0.208312934
158	0.2064524613
159	0.2043915609
160	0.2035291136
161	0.2026096493
162	0.2015969762
163	0.2008754146
164	0.2003350445
165	0.1992620964
166	0.198878984
167	0.1978821398
168	0.1966099586
169	0.1960263371
170	0.1954494626
171	0.1948207163
172	0.1938538738
173	0.1931397923
174	0.191958553
175	0.1907087441
176	0.190066884
177	0.1891626514
178	0.1884609507
179	0.187545179
180	0.1867543285
181	0.1863811941
182	0.1849033315
183	0.1834197129
184	0.1825137834
185	0.1816511052
186	0.1808376787
187	0.1798434274
188	0.1791381836
189	0.1785082427
190	0.1776921418
191	0.1765504206
192	0.1761587014
193	0.1752971093
194	0.1744199732
195	0.1741397491
196	0.1730590495
197	0.1723977221
198	0.1719222154
199	0.1713719623
200	0.1702791533
201	0.1698887645
202	0.1694870267
203	0.1688727382
204	0.1681876267
205	0.1673098527
206	0.1665804581
207	0.1658636752
208	0.1648729263
209	0.1639574804
210	0.163234765
211	0.162763005
212	0.1617864833
213	0.1610087602
214	0.160357085
215	0.1596256948
216	0.1589884911
217	0.1582132523
218	0.1577697428
219	0.156963362
220	0.1566570458
221	0.1562249669
222	0.155596017
223	0.1553594243
224	0.1547752733
225	0.1546119065
226	0.1544686586
227	0.1537834113
228	0.1529231496
229	0.1520308905
230	0.1515096753
231	0.1510068547
232	0.1508867529
233	0.1502760755
234	0.1494916868
235	0.1488788102
236	0.148368849
237	0.1476707458
238	0.1472356939
239	0.1465814937
240	0.1456786186
241	0.1449638177
242	0.1447572131
243	0.1442386994
244	0.1436064642
245	0.1435012546
246	0.1427913272
247	0.1417767806
248	0.140861294
249	0.1402282715
250	0.1394790161
251	0.1389515561
252	0.138089516
253	0.137963373
254	0.1373892
255	0.1363953017
256	0.1354083947
257	0.1348233613
258	0.1340567158
259	0.1335652036
260	0.1331765932
261	0.1330277792
262	0.1326340102
263	0.1322565995
264	0.1320528322
265	0.1309876086
266	0.1300599855
267	0.1295933299
268	0.1291642919
269	0.1286525794
270	0.1283146054
271	0.1280230865
272	0.1274015759
273	0.1267856313
274	0.1264723645
275	0.1262099242
276	0.1253053115
277	0.12487888
278	0.1243005529
279	0.123675662
280	0.1232025581
281	0.1227605826
282	0.1221668067
283	0.1217476787
284	0.1210390953
285	0.1209262291
286	0.1204785384
287	0.1203396889
288	0.1198679425
289	0.1193542345
290	0.1191096459
291	0.1185968474
292	0.1181835704
293	0.1176635362
294	0.1172240451
295	0.1168797992
296	0.1164674996
297	0.1160177319
298	0.1155138253
299	0.1149479062
